Source,Destination,Total_Stops,Airline_IndiGo,Airline_Jet Airways,Airline_other,Additional_Info_Some info,Date_of_Journey_day,Date_of_Journey_month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Duration_in_hours
2,2,0,1,0,0,0,0.8846153846153847,0.0,0.9565217391304348,0.3636363636363636,0.0434782608695652,0.1818181818181818,0.0344827586206896
1,1,2,0,0,0,0,0.0,0.6666666666666665,0.217391304347826,0.9090909090909092,0.5652173913043478,0.2727272727272727,0.2068965517241379
0,0,2,0,1,0,0,0.3076923076923077,1.0,0.3913043478260869,0.4545454545454545,0.1739130434782608,0.4545454545454545,0.6206896551724138
1,1,1,1,0,0,0,0.4230769230769231,0.6666666666666665,0.7826086956521738,0.0909090909090909,1.0,0.5454545454545454,0.1379310344827586
2,2,1,1,0,0,0,0.0,0.0,0.6956521739130435,0.9090909090909092,0.9130434782608696,0.6363636363636364,0.1034482758620689
1,1,0,0,0,1,0,0.8846153846153847,1.0,0.3913043478260869,0.0,0.4782608695652174,0.4545454545454545,0.0344827586206896
2,2,1,0,1,0,1,0.4230769230769231,0.0,0.7826086956521738,1.0,0.4347826086956521,0.4545454545454545,0.4827586206896552
2,2,1,0,1,0,0,0.0,0.0,0.3478260869565217,0.0,0.217391304347826,0.0909090909090909,0.6896551724137931
2,2,1,0,1,0,1,0.4230769230769231,0.0,0.3478260869565217,1.0,0.4347826086956521,0.4545454545454545,0.8275862068965517
0,0,1,0,0,1,0,1.0,0.6666666666666665,0.4782608695652174,0.4545454545454545,0.8260869565217391,0.2727272727272727,0.2068965517241379
0,0,1,0,0,0,0,0.0,1.0,0.3913043478260869,0.8181818181818181,1.0,0.0,0.4137931034482758
1,1,0,1,0,0,0,0.6538461538461539,0.3333333333333332,0.8695652173913043,0.3636363636363636,0.9565217391304348,1.0,0.0344827586206896
4,4,0,0,0,0,0,0.8846153846153847,1.0,0.4782608695652174,0.7272727272727273,0.5652173913043478,1.0,0.0344827586206896
1,1,1,0,1,0,1,0.3076923076923077,0.6666666666666665,0.9130434782608696,0.1818181818181818,0.3913043478260869,0.3636363636363636,0.3793103448275862
1,1,0,1,0,0,0,0.8846153846153847,0.3333333333333332,0.7391304347826086,0.2727272727272727,0.8260869565217391,0.9090909090909092,0.0344827586206896
0,0,2,0,0,0,0,0.0769230769230769,0.0,0.6956521739130435,0.7272727272727273,0.8260869565217391,0.2727272727272727,0.8620689655172414
